objectid,title,date,start_year,end_year,date_type
ihl_artist_239,Okuyama Gihachirō 奥山儀八郎,1907-1981,1907,1981,birth-death
ihl_artist_240,Saitō Noriko サイトウノリコ,b. 1973,1973,,birth
ihl_artist_241,Sekino Yowsaku 関野洋作,b. 1944,1944,,birth
ihl_artist_242,Serizawa Keisuke 芹沢銈介,1895-1984,1895,1984,birth-death
ihl_artist_243,Shibata Zeshin 柴田是真,1808-1891,1808,1891,birth-death
ihl_artist_244,Shinoda Tōkō 篠田桃紅,1913-2021,1913,2021,birth-death
ihl_artist_245,Soga Shōhaku 曾我蕭白,1730–1781,1730,1781,birth-death
ihl_artist_246,Sugiura Hisui 杉浦非水,1876-1965,1876,1965,birth-death
ihl_artist_247,Takahashi Shōtei (Hiroaki) 高橋松亭 (弘明),1871-1945,1871,1945,birth-death
ihl_artist_248,Torii Kotondo 鳥居言人,1900-1976,1900,1976,birth-death
ihl_artist_249,Tōshūsai Sharaku 東洲斎写楽,a.1794–1795,1794,1795,birth-death
ihl_artist_250,Tomioka Eisen 富岡永洗,1864-1905,1864,1905,birth-death
ihl_artist_251,Tsutsui Toshimine 筒井年峰,1863-1934,1863,1934,birth-death
ihl_artist_252,Utagawa Kunikazu 歌川国員,active 1848-1868,1848,1868,active
ihl_artist_253,Utagawa Nobuyuki 歌川延雪,1878-?,1878,,birth
ihl_artist_254,Utagawa Toyonobu 歌川豊宣,1859–1886,1859,1886,birth-death
ihl_artist_255,Watanabe Kōgai 渡辺香涯,1874-1961,1874,1961,birth-death
ihl_artist_256,Watanabe Sadao 渡辺禎雄,1913-1996,1913,1996,birth-death
ihl_artist_257,Yamagishi Kazue 山岸主計,1891-1984,1891,1984,birth-death
ihl_artist_258,Yamakawa Shūhō 山川秀峰,1898-1944,1898,1944,birth-death
ihl_artist_259,Yamamoto Eishun 山本英春,1879-?,1879,,birth
ihl_artist_260,Yamanaka Kodō 山中古洞,1869-1945,1869,1945,birth-death
ihl_artist_261,Yoshikawa Koshimine 吉川越峰,active 1950s,1950,1950,active
ihl_artist_263,Akatsuka Chūichi 赤塚忠一,1887-?,1887,,birth
ihl_artist_264,Dōmoto Inshō 堂本印象,1891-1975,1891,1975,birth-death
ihl_artist_266,Fujiyama Taneyoshi 藤山種芳,active early 19th century,,,active
ihl_artist_267,Fukita Fumiaki 吹田文明,(b. 1926),1926,,birth
ihl_artist_268,Fukuda Heihachirō 福田平八郎,1892-1974,1892,1974,birth-death
ihl_artist_269,Hachijirō 八二郎,?-?,,,unknown
ihl_artist_270,Chiura Obata 小圃千浦,1885-1975,1885,1975,birth-death
ihl_artist_271,Nagase Morimatsu? 長瀬盛松,active c. 1885,1885,1885,active
ihl_artist_272,Nakai Toshiyama? 中井利山,active c. 1885,1885,1885,active
ihl_artist_273,Asada Benji 麻田辨次,1899-1984,1899,1984,birth-death
ihl_artist_274,Uemura Shōen 上村松園,1875–1949,1875,1949,birth-death
ihl_artist_275,Uenaka Chokusai 植中直斎,1885-1977,1885,1977,birth-death
ihl_artist_276,Unidentified,,,,unknown
ihl_artist_277,Unknown,,,,unknown
ihl_artist_278,Unknown - after a work by Kawase Hasui 川瀬巴水,1883-1957,1883,1957,birth-death
ihl_artist_279,Unknown - artist for frontispiece,,,,unknown
ihl_artist_280,Unknown - the sketches of the honzon are not credited. Principle artist for portfolio is Nakazawa Hiromitsu 中沢弘光,1874-1964,1874,1964,birth-death
ihl_artist_281,Urano Ginjirō 浦野銀次郎,active Taishō era,,,active
ihl_artist_282,Hasegawa Sonokichi 長谷川園吉,active 1877-1905,1877,1905,active
ihl_artist_283,Watanabe Seitei 渡辺省亭,1851-1918,1851,1918,birth-death
ihl_artist_284,Watanabe Tadahisa 渡辺忠久,active 1881-1900,1881,1900,active
ihl_artist_285,Y. Maru,(?-?),,,unknown
ihl_artist_286,Yamada Kisaku 山田喜作,1900-1963,1900,1963,birth-death
ihl_artist_287,Yamashita Shintarō 山下新太郎,1881-1966,1881,1966,birth-death
ihl_artist_288,Honda Kinkichirō 本多錦吉郎,1850-1921,1850,1921,birth-death
ihl_artist_289,Yokoyama Taikan 横山大観,1868-1958,1868,1958,birth-death
ihl_artist_290,Imao Keinen 今尾景年,1845-1923,1845,1923,birth-death
ihl_artist_291,Inagaki Kadō 稲垣蝸堂,act. 1904-1930s,1904,1930,birth-death
ihl_artist_292,Inagaki Toshijirō 稲垣稔次郎,1902-1963,1902,1963,birth-death
ihl_artist_293,Inano Toshitsune 稲野年恒,1858-1907,1858,1907,birth-death
ihl_artist_294,Ino Eiji 井野英二,b. 1949,1949,,birth
ihl_artist_295,Inoue Seiji 井上精二,active Taishō era,,,active
ihl_artist_296,Eda Rankei 枝蘭渓,active Meiji era,,,active
ihl_artist_297,Ishii Rinkyō 石井林響,1884-1930,1884,1930,birth-death
ihl_artist_298,Itō Chūta 伊東忠太,1867-1954,1867,1954,birth-death
ihl_artist_299,James A. Michener,1907-1997,1907,1997,birth-death
ihl_artist_300,Kakiuchi Seiyō (a.k.a. Kakiuchi Aoba) 柿内青葉,1890-1982,1890,1982,birth-death
ihl_artist_301,Katsukawa Shunkō 勝川春好,1743-1812,1743,1812,birth-death
ihl_artist_302,Kawai Gyokudō 川合玉堂,1873-1957,1873,1957,birth-death
ihl_artist_303,Kawakami Tōgai 川上冬崖,1828-1881,1828,1881,birth-death
ihl_artist_304,Kawakami Tōgai 川上冬崖,1827-1881,1827,1881,birth-death
ihl_artist_305,Fukuta? 福太,dates unknown,,,unknown
ihl_artist_306,Kawakami Tōgai 川上冬崖,1827-1881,1827,1881,birth-death
ihl_artist_307,Kawakita Kahō 川北霞峰,1875-1940,1875,1940,birth-death
ihl_artist_308,Kawamura Manshū 川村曼舟,1880-1942,1880,1942,birth-death
ihl_artist_309,Nakagawa Kazumasa 中川一政,1893-1991,1893,1991,birth-death
ihl_artist_310,Kikkawa Reika 吉川霊華,1875-1929,1875,1929,birth-death
ihl_artist_311,Kitagami Seigyū 北上聖牛,1891-1970,1891,1970,birth-death
ihl_artist_312,Kitagawa Utamaro 喜多川歌麿,1753-1806,1753,1806,birth-death
ihl_artist_313,Kitagawa Utamaro 喜多川歌麿,1753-1806,1753,1806,birth-death
ihl_artist_314,Hasegawa Roka 長谷川路可,1897-1967,1897,1967,birth-death
ihl_artist_315,Kitazawa Rakuten 北澤楽天,1876-1955,1876,1955,birth-death
ihl_artist_316,Kiyonao 清直,active. c. 1844,1844,1844,active
ihl_artist_317,Kobayashi Kaichi 小林かいち,1896-1968,1896,1968,birth-death
ihl_artist_318,Kosugi Misei 小杉未醒,1881-1964,1881,1964,birth-death
